Loan ID,Rating,EAD,Maturity,Sector,Country,Secured,PD,LGD,RWA,RWA_after_CDS,RWA_final
L00001,BBB,574101.34,7,Energy,China,Yes,0.005,0.45,700127.88,700127.8824467692,700127.8824467692
L00002,CCC,610850.66,5,Real Estate,USA,No,0.2,0.45,2684423.46,1610654.0785713173,0.0
L00003,BB,584085.25,10,Transport,China,No,0.018,0.45,2018056.14,1210833.6815115733,1210833.6815115733
L00004,BBB,462679.72,7,Manufacturing,China,No,0.005,0.75,940411.71,940411.7067980368,940411.7067980368
L00005,A,400845.28,10,Retail,Italy,No,0.002,0.75,756523.72,756523.7158447576,756523.7158447576
L00006,A,410184.92,4,Finance,China,Yes,0.002,0.45,236936.92,236936.91644976352,236936.91644976352
L00007,AA,401332.63,9,Energy,UK,Yes,0.0006,0.45,245540.97,245540.96682670058,245540.96682670058
L00008,B,779871.97,10,Transport,China,No,0.05,0.45,3114671.68,1868803.0051465158,0.0
L00009,BB,595274.76,2,Finance,Brazil,Yes,0.018,0.45,625481.41,625481.4138851889,625481.4138851889
L00010,BB,101702.35,9,Energy,France,No,0.018,0.75,329728.41,329728.4085058574,329728.4085058574
L00011,AAA,614122.92,9,Healthcare,Brazil,No,0.0003,0.75,452291.22,452291.21591730026,452291.21591730026
L00012,CCC,487657.26,5,Healthcare,Italy,Yes,0.2,0.45,1285825.17,1285825.171677662,1285825.171677662
L00013,B,438294.19,1,Finance,UK,Yes,0.05,0.45,578107.4,578107.3996075316,578107.3996075316
L00014,A,364302.84,7,Retail,China,Yes,0.002,0.45,311483.84,311483.8449572435,311483.8449572435
L00015,A,776115.29,10,Transport,USA,No,0.002,0.75,1464778.69,1464778.6874644791,1464778.6874644791
L00016,A,710527.71,10,Transport,Germany,Yes,0.002,0.45,804596.32,804596.3221218914,804596.3221218914
L00017,A,300607.64,4,Healthcare,China,No,0.002,0.75,289402.19,289402.1850878079,289402.1850878079
L00018,BBB,542273.7,9,Energy,France,Yes,0.005,0.45,787458.92,787458.9204939634,787458.9204939634
L00019,BBB,272167.14,6,Finance,Germany,No,0.005,0.75,500428.3,500428.3015444066,500428.3015444066
L00020,A,221946.34,3,Retail,USA,Yes,0.002,0.45,107682.75,107682.74652403145,107682.74652403145
L00021,BB,323398.76,6,Manufacturing,Italy,Yes,0.018,0.45,505114.39,505114.386122716,505114.386122716
L00022,AA,680917.71,10,Transport,Italy,No,0.0006,0.75,762870.88,762870.8820349626,762870.8820349626
L00023,A,712519.47,6,Manufacturing,USA,No,0.002,0.75,905557.38,905557.3759041202,905557.3759041202
L00024,BBB,571798.94,5,Retail,Brazil,Yes,0.005,0.45,564306.33,564306.3316047725,564306.3316047725
L00025,BBB,635741.87,2,Healthcare,USA,No,0.005,0.75,675964.78,675964.7821569752,675964.7821569752
L00026,BB,572683.88,10,Transport,China,No,0.018,0.45,1978663.59,1187198.1543151997,1187198.1543151997
L00027,A,321020.16,10,Transport,France,Yes,0.002,0.45,363520.85,363520.8541873492,363520.8541873492
L00028,BBB,549059.05,2,Finance,UK,Yes,0.005,0.45,350278.56,350278.5630192007,350278.5630192007
L00029,BBB,660138.38,7,Manufacturing,China,No,0.005,0.75,1341752.91,1341752.9098934594,1341752.9098934594
L00030,AAA,645090.35,2,Healthcare,China,Yes,0.0003,0.45,78413.68,78413.68448311811,78413.68448311811
L00031,BB,801673.49,6,Finance,China,Yes,0.018,0.45,1252128.53,1252128.5263190411,1252128.5263190411
L00032,A,630426.54,5,Real Estate,Germany,No,0.002,0.75,704075.17,704075.167291537,704075.167291537
L00033,AA,527405.04,4,Manufacturing,Germany,Yes,0.0006,0.45,163397.39,163397.38832114913,163397.38832114913
L00034,B,755454.72,7,Manufacturing,Italy,Yes,0.05,0.45,1539008.13,1539008.1304011047,0.0
L00035,CCC,436585.44,8,Real Estate,China,No,0.2,0.45,2140758.72,1284455.2316000427,1284455.2316000427
L00036,B,284663.39,4,Retail,Brazil,Yes,0.05,0.45,477691.98,477691.98237160634,477691.98237160634
L00037,A,407773.24,1,Retail,Italy,No,0.002,0.75,204060.12,204060.11772446963,204060.11772446963
L00038,AA,304841.94,1,Transport,France,No,0.0006,0.75,65344.75,65344.74954974288,65344.74954974288
L00039,BB,315656.81,1,Energy,USA,Yes,0.018,0.45,291337.57,291337.5734189407,291337.5734189407
L00040,BBB,411572.58,1,Finance,Germany,Yes,0.005,0.45,214696.81,214696.80547263293,214696.80547263293
L00041,AA,297684.67,5,Energy,China,Yes,0.0006,0.45,110207.0,110207.00446291057,110207.00446291057
L00042,BBB,379275.92,4,Transport,France,Yes,0.005,0.45,330191.85,330191.85189943045,330191.85189943045
L00043,AAA,171646.54,9,Energy,Italy,No,0.0003,0.75,126414.79,126414.79377548312,126414.79377548312
L00044,B,492203.17,3,Manufacturing,Italy,No,0.05,0.75,1278410.88,1278410.8804709588,1278410.8804709588
L00045,A,442680.13,7,Manufacturing,Germany,Yes,0.002,0.45,378497.49,378497.4857142821,378497.4857142821
L00046,BB,294035.47,8,Real Estate,Italy,Yes,0.018,0.45,534400.08,534400.0755548478,534400.0755548478
L00047,A,615150.87,6,Real Estate,Brazil,Yes,0.002,0.45,469085.63,469085.6301420113,469085.6301420113
L00048,BBB,706999.38,10,Transport,Italy,Yes,0.005,0.45,1108896.4,1108896.3997292102,1108896.3997292102
L00049,BBB,198039.16,1,Transport,UK,Yes,0.005,0.45,103307.11,103307.11295316035,103307.11295316035
L00050,A,302137.54,8,Healthcare,USA,Yes,0.002,0.45,286267.22,286267.2213013017,286267.2213013017
L00051,CCC,301169.6,10,Transport,Italy,No,0.2,0.45,1578925.12,947355.0714046349,947355.0714046349
L00052,BB,276522.77,3,Manufacturing,UK,Yes,0.018,0.45,325890.76,325890.76382081374,325890.76382081374
L00053,B,669802.0,8,Energy,France,Yes,0.05,0.45,1444692.23,1444692.2349536114,1444692.2349536114
L00054,B,401549.84,4,Finance,Italy,No,0.05,0.75,1123064.09,1123064.0927084754,1123064.0927084754
