Loan ID,Rating,PD,EAD,LGD,Maturity,Sector,Country,Secured,RWA,RWA_after_CDS,RWA_final
L00001,BBB,0.005,574101.34,0.45,7,Energy,China,Yes,700127.88,700127.88,700127.88
L00002,CCC,0.2,610850.66,0.45,5,Real Estate,USA,No,2684423.46,1610654.08,0.0
L00003,BB,0.018,584085.25,0.45,10,Transport,China,No,2018056.14,1210833.68,1210833.68
L00004,BBB,0.005,462679.72,0.75,7,Manufacturing,China,No,940411.71,940411.71,940411.71
L00005,A,0.002,400845.28,0.75,10,Retail,Italy,No,756523.72,756523.72,756523.72
L00006,A,0.002,410184.92,0.45,4,Finance,China,Yes,236936.92,236936.92,236936.92
L00007,AA,0.0006,401332.63,0.45,9,Energy,UK,Yes,245540.97,245540.97,245540.97
L00008,B,0.05,779871.97,0.45,10,Transport,China,No,3114671.68,1868803.01,0.0
L00009,BB,0.018,595274.76,0.45,2,Finance,Brazil,Yes,625481.41,625481.41,625481.41
L00010,BB,0.018,101702.35,0.75,9,Energy,France,No,329728.41,329728.41,329728.41
L00011,AAA,0.0003,614122.92,0.75,9,Healthcare,Brazil,No,452291.22,452291.22,452291.22
L00012,CCC,0.2,487657.26,0.45,5,Healthcare,Italy,Yes,1285825.17,1285825.17,1285825.17
L00013,B,0.05,438294.19,0.45,1,Finance,UK,Yes,578107.4,578107.4,578107.4
L00014,A,0.002,364302.84,0.45,7,Retail,China,Yes,311483.84,311483.84,311483.84
L00015,A,0.002,776115.29,0.75,10,Transport,USA,No,1464778.69,1464778.69,1464778.69
L00016,A,0.002,710527.71,0.45,10,Transport,Germany,Yes,804596.32,804596.32,804596.32
L00017,A,0.002,300607.64,0.75,4,Healthcare,China,No,289402.19,289402.19,289402.19
L00018,BBB,0.005,542273.7,0.45,9,Energy,France,Yes,787458.92,787458.92,787458.92
L00019,BBB,0.005,272167.14,0.75,6,Finance,Germany,No,500428.3,500428.3,500428.3
L00020,A,0.002,221946.34,0.45,3,Retail,USA,Yes,107682.75,107682.75,107682.75
L00021,BB,0.018,323398.76,0.45,6,Manufacturing,Italy,Yes,505114.39,505114.39,505114.39
L00022,AA,0.0006,680917.71,0.75,10,Transport,Italy,No,762870.88,762870.88,762870.88
L00023,A,0.002,712519.47,0.75,6,Manufacturing,USA,No,905557.38,905557.38,905557.38
L00024,BBB,0.005,571798.94,0.45,5,Retail,Brazil,Yes,564306.33,564306.33,564306.33
L00025,BBB,0.005,635741.87,0.75,2,Healthcare,USA,No,675964.78,675964.78,675964.78
L00026,BB,0.018,572683.88,0.45,10,Transport,China,No,1978663.59,1187198.15,1187198.15
L00027,A,0.002,321020.16,0.45,10,Transport,France,Yes,363520.85,363520.85,363520.85
L00028,BBB,0.005,549059.05,0.45,2,Finance,UK,Yes,350278.56,350278.56,350278.56
L00029,BBB,0.005,660138.38,0.75,7,Manufacturing,China,No,1341752.91,1341752.91,1341752.91
L00030,AAA,0.0003,645090.35,0.45,2,Healthcare,China,Yes,78413.68,78413.68,78413.68
L00031,BB,0.018,801673.49,0.45,6,Finance,China,Yes,1252128.53,1252128.53,1252128.53
L00032,A,0.002,630426.54,0.75,5,Real Estate,Germany,No,704075.17,704075.17,704075.17
L00033,AA,0.0006,527405.04,0.45,4,Manufacturing,Germany,Yes,163397.39,163397.39,163397.39
L00034,B,0.05,755454.72,0.45,7,Manufacturing,Italy,Yes,1539008.13,1539008.13,0.0
L00035,CCC,0.2,436585.44,0.45,8,Real Estate,China,No,2140758.72,1284455.23,1284455.23
L00036,B,0.05,284663.39,0.45,4,Retail,Brazil,Yes,477691.98,477691.98,477691.98
L00037,A,0.002,407773.24,0.75,1,Retail,Italy,No,204060.12,204060.12,204060.12
L00038,AA,0.0006,304841.94,0.75,1,Transport,France,No,65344.75,65344.75,65344.75
L00039,BB,0.018,315656.81,0.45,1,Energy,USA,Yes,291337.57,291337.57,291337.57
L00040,BBB,0.005,411572.58,0.45,1,Finance,Germany,Yes,214696.81,214696.81,214696.81
L00041,AA,0.0006,297684.67,0.45,5,Energy,China,Yes,110207.0,110207.0,110207.0
L00042,BBB,0.005,379275.92,0.45,4,Transport,France,Yes,330191.85,330191.85,330191.85
L00043,AAA,0.0003,171646.54,0.75,9,Energy,Italy,No,126414.79,126414.79,126414.79
L00044,B,0.05,492203.17,0.75,3,Manufacturing,Italy,No,1278410.88,1278410.88,1278410.88
L00045,A,0.002,442680.13,0.45,7,Manufacturing,Germany,Yes,378497.49,378497.49,378497.49
L00046,BB,0.018,294035.47,0.45,8,Real Estate,Italy,Yes,534400.08,534400.08,534400.08
L00047,A,0.002,615150.87,0.45,6,Real Estate,Brazil,Yes,469085.63,469085.63,469085.63
L00048,BBB,0.005,706999.38,0.45,10,Transport,Italy,Yes,1108896.4,1108896.4,1108896.4
L00049,BBB,0.005,198039.16,0.45,1,Transport,UK,Yes,103307.11,103307.11,103307.11
L00050,A,0.002,302137.54,0.45,8,Healthcare,USA,Yes,286267.22,286267.22,286267.22
L00051,CCC,0.2,301169.6,0.45,10,Transport,Italy,No,1578925.12,947355.07,947355.07
L00052,BB,0.018,276522.77,0.45,3,Manufacturing,UK,Yes,325890.76,325890.76,325890.76
L00053,B,0.05,669802.0,0.45,8,Energy,France,Yes,1444692.23,1444692.23,1444692.23
L00054,B,0.05,401549.84,0.75,4,Finance,Italy,No,1123064.09,1123064.09,1123064.09
L00055,BBB,0.005,387605.2,0.45,8,Healthcare,Brazil,Yes,517775.16,517775.16,517775.16
L00056,B,0.05,162440.79,0.45,1,Healthcare,France,Yes,214258.42,214258.42,214258.42
L00057,AA,0.0006,607865.56,0.45,3,Healthcare,China,Yes,151610.06,151610.06,151610.06
L00058,A,0.002,238082.09,0.45,6,Transport,Italy,Yes,181550.4,181550.4,181550.4
L00059,AAA,0.0003,455871.53,0.45,9,Transport,Germany,Yes,201445.04,201445.04,201445.04
L00060,A,0.002,508229.54,0.75,2,Manufacturing,UK,No,332648.93,332648.93,332648.93
L00061,BBB,0.005,873557.56,0.45,1,Finance,UK,Yes,455691.24,455691.24,455691.24
L00062,A,0.002,229943.71,0.75,10,Manufacturing,Germany,No,433977.59,433977.59,433977.59
L00063,B,0.05,97757.37,0.45,3,Finance,USA,Yes,152344.51,152344.51,152344.51
L00064,BBB,0.005,485009.99,0.45,4,Manufacturing,China,Yes,422242.33,422242.33,422242.33
L00065,A,0.002,1088439.51,0.45,5,Energy,Brazil,Yes,729356.89,729356.89,729356.89
L00066,BBB,0.005,821981.51,0.45,3,Transport,UK,Yes,619998.6,619998.6,619998.6
L00067,AA,0.0006,491309.58,0.45,10,Retail,France,Yes,330265.26,330265.26,330265.26
L00068,B,0.05,345995.8,0.45,2,Retail,Brazil,Yes,497782.1,497782.1,497782.1
L00069,AA,0.0006,662357.88,0.45,2,Transport,UK,Yes,125194.75,125194.75,125194.75
L00070,CCC,0.2,271910.13,0.45,7,Healthcare,China,Yes,772300.46,772300.46,772300.46
L00071,BB,0.018,561394.35,0.45,9,Transport,USA,Yes,1092055.39,1092055.39,1092055.39
L00072,A,0.002,569625.88,0.45,10,Transport,China,Yes,645040.13,645040.13,645040.13
L00073,AAA,0.0003,751709.3,0.45,2,Transport,France,Yes,91373.71,91373.71,91373.71
L00074,B,0.05,1758250.82,0.45,7,Healthcare,China,No,5969831.23,3581898.74,0.0
L00075,BB,0.018,538319.74,0.45,7,Finance,Brazil,No,1515980.82,909588.49,909588.49
L00076,BB,0.018,343011.13,0.45,7,Energy,France,Yes,579579.3,579579.3,579579.3
L00077,BB,0.018,436792.2,0.45,3,Retail,Germany,Yes,514773.32,514773.32,514773.32
L00078,AA,0.0006,182674.66,0.45,7,Real Estate,Italy,Yes,89695.82,89695.82,89695.82
L00079,BBB,0.005,312588.66,0.75,1,Retail,Germany,No,271769.75,271769.75,271769.75
L00080,AA,0.0006,360540.21,0.45,10,Retail,Brazil,Yes,242360.24,242360.24,242360.24
L00081,B,0.05,340426.94,0.75,1,Healthcare,Italy,No,748368.48,748368.48,748368.48
L00082,BB,0.018,477432.2,0.45,5,Manufacturing,Germany,Yes,684688.41,684688.41,684688.41
L00083,A,0.002,293252.72,0.45,2,Transport,Italy,Yes,115164.74,115164.74,115164.74
L00084,AA,0.0006,774920.2,0.45,9,Transport,UK,Yes,474107.11,474107.11,474107.11
L00085,A,0.002,442459.2,0.45,7,Transport,China,Yes,378308.59,378308.59,378308.59
L00086,A,0.002,440360.87,0.75,4,Manufacturing,France,No,423945.97,423945.97,423945.97
L00087,BB,0.018,375514.6,0.45,4,Healthcare,Italy,Yes,490541.75,490541.75,490541.75
L00088,BB,0.018,478109.63,0.45,2,Energy,UK,Yes,502370.85,502370.85,502370.85
L00089,B,0.05,668337.88,0.45,5,Energy,China,Yes,1201534.01,1201534.01,1201534.01
L00090,BBB,0.005,286769.75,0.75,4,Healthcare,China,No,416095.64,416095.64,416095.64
L00091,AA,0.0006,318361.16,0.45,1,Real Estate,USA,Yes,40945.61,40945.61,40945.61
L00092,BB,0.018,380079.98,0.45,8,Energy,Germany,Yes,690783.22,690783.22,690783.22
L00093,BB,0.018,225723.15,0.45,3,Healthcare,USA,Yes,266021.82,266021.82,266021.82
L00094,BBB,0.005,293716.73,0.45,6,Energy,Brazil,Yes,324030.66,324030.66,324030.66
L00095,BB,0.018,348672.92,0.75,4,Transport,UK,No,759129.94,759129.94,759129.94
L00096,BBB,0.005,685014.02,0.45,9,Finance,USA,Yes,994738.27,994738.27,994738.27
L00097,BBB,0.005,504478.58,0.45,7,Healthcare,USA,Yes,615221.56,615221.56,615221.56
L00098,BBB,0.005,487377.84,0.45,9,Retail,China,Yes,707742.29,707742.29,707742.29
L00099,AAA,0.0003,677015.18,0.75,10,Energy,UK,No,550246.47,550246.47,550246.47
L00100,AA,0.0006,413045.94,0.45,3,Energy,China,Yes,103019.36,103019.36,103019.36
L00101,AAA,0.0003,537794.84,0.45,1,Manufacturing,France,Yes,40760.75,40760.75,40760.75
L00102,BB,0.018,420159.27,0.75,5,Real Estate,Italy,No,1004254.92,1004254.92,1004254.92
L00103,A,0.002,505185.6,0.45,3,Finance,Brazil,Yes,245103.27,245103.27,245103.27
L00104,BBB,0.005,330585.52,0.75,6,Manufacturing,Brazil,No,607841.01,607841.01,607841.01
L00105,B,0.05,130691.05,0.45,8,Transport,Germany,Yes,281886.8,281886.8,281886.8
L00106,A,0.002,413685.13,0.45,4,Retail,China,Yes,238958.76,238958.76,238958.76
L00107,BBB,0.005,901102.3,0.75,5,Real Estate,Italy,No,1482157.74,1482157.74,1482157.74
L00108,BB,0.018,702996.86,0.45,5,Manufacturing,Germany,No,1680286.76,1008172.05,1008172.05
L00109,A,0.002,716905.09,0.45,4,Healthcare,Brazil,Yes,414109.04,414109.04,414109.04
L00110,AA,0.0006,820825.12,0.75,4,Energy,Italy,No,423838.32,423838.32,423838.32
L00111,A,0.002,462466.22,0.45,4,Energy,USA,Yes,267136.39,267136.39,267136.39
L00112,A,0.002,488286.62,0.75,4,Real Estate,France,No,470085.24,470085.24,470085.24
L00113,B,0.05,324867.94,0.45,4,Energy,USA,Yes,545159.0,545159.0,545159.0
L00114,B,0.05,377740.82,0.45,5,Healthcare,France,Yes,679100.28,679100.28,679100.28
L00115,BB,0.018,601923.46,0.75,2,Manufacturing,China,No,1054112.49,1054112.49,1054112.49
L00116,B,0.05,807696.96,0.45,2,Manufacturing,UK,No,1936714.69,1162028.81,1162028.81
L00117,B,0.05,412617.73,0.45,9,Energy,Germany,Yes,939363.27,939363.27,939363.27
L00118,A,0.002,353240.84,0.45,2,Energy,Germany,Yes,138722.97,138722.97,138722.97
L00119,B,0.05,442530.2,0.45,6,Transport,UK,Yes,848549.15,848549.15,848549.15
L00120,BBB,0.005,597556.06,0.45,2,Retail,Italy,Yes,381217.79,381217.79,381217.79
L00121,B,0.05,214931.06,0.45,5,Real Estate,UK,Yes,386401.83,386401.83,386401.83
L00122,B,0.05,140352.1,0.45,4,Manufacturing,China,Yes,235524.04,235524.04,235524.04
L00123,A,0.002,335954.69,0.45,7,Real Estate,Brazil,Yes,287245.79,287245.79,287245.79
L00124,AA,0.0006,240300.09,0.75,7,Transport,UK,No,196651.18,196651.18,196651.18
L00125,A,0.002,343152.39,0.45,6,Manufacturing,France,Yes,261672.16,261672.16,261672.16
L00126,BBB,0.005,410901.93,0.45,10,Transport,Brazil,Yes,644481.0,644481.0,644481.0
L00127,B,0.05,352700.94,0.45,5,Transport,UK,Yes,634083.73,634083.73,634083.73
L00128,B,0.05,914592.39,0.45,1,Finance,Germany,No,2010569.77,1206341.86,1206341.86
L00129,AAA,0.0003,520930.74,0.45,3,Energy,USA,Yes,87160.45,87160.45,87160.45
L00130,BBB,0.005,514132.96,0.45,9,Healthcare,France,Yes,746594.54,746594.54,746594.54
L00131,BBB,0.005,603863.57,0.75,1,Finance,China,No,525008.98,525008.98,525008.98
L00132,A,0.002,250342.04,0.75,5,Real Estate,France,No,279587.87,279587.87,279587.87
