Loan ID,Rating,EAD,Maturity,Sector,Country,Secured,PD,LGD
L00001,BBB,574101.34,7,Energy,China,Yes,0.005,0.45
L00002,CCC,610850.66,5,Real Estate,USA,No,0.2,0.75
L00003,BB,584085.25,10,Transport,China,No,0.018,0.75
L00004,BBB,462679.72,7,Manufacturing,China,No,0.005,0.75
L00005,A,400845.28,10,Retail,Italy,No,0.002,0.75
L00006,A,410184.92,4,Finance,China,Yes,0.002,0.45
L00007,AA,401332.63,9,Energy,UK,Yes,0.0006,0.45
L00008,B,779871.97,10,Transport,China,No,0.05,0.75
L00009,BB,595274.76,2,Finance,Brazil,Yes,0.018,0.45
L00010,BB,101702.35,9,Energy,France,No,0.018,0.75
L00011,AAA,614122.92,9,Healthcare,Brazil,No,0.0003,0.75
L00012,CCC,487657.26,5,Healthcare,Italy,Yes,0.2,0.45
L00013,B,438294.19,1,Finance,UK,Yes,0.05,0.45
L00014,A,364302.84,7,Retail,China,Yes,0.002,0.45
L00015,A,776115.29,10,Transport,USA,No,0.002,0.75
L00016,A,710527.71,10,Transport,Germany,Yes,0.002,0.45
L00017,A,300607.64,4,Healthcare,China,No,0.002,0.75
L00018,BBB,542273.7,9,Energy,France,Yes,0.005,0.45
L00019,BBB,272167.14,6,Finance,Germany,No,0.005,0.75
L00020,A,221946.34,3,Retail,USA,Yes,0.002,0.45
L00021,BB,323398.76,6,Manufacturing,Italy,Yes,0.018,0.45
L00022,AA,680917.71,10,Transport,Italy,No,0.0006,0.75
L00023,A,712519.47,6,Manufacturing,USA,No,0.002,0.75
L00024,BBB,571798.94,5,Retail,Brazil,Yes,0.005,0.45
L00025,BBB,635741.87,2,Healthcare,USA,No,0.005,0.75
L00026,BB,572683.88,10,Transport,China,No,0.018,0.75
L00027,A,321020.16,10,Transport,France,Yes,0.002,0.45
L00028,BBB,549059.05,2,Finance,UK,Yes,0.005,0.45
L00029,BBB,660138.38,7,Manufacturing,China,No,0.005,0.75
L00030,AAA,645090.35,2,Healthcare,China,Yes,0.0003,0.45
L00031,BB,801673.49,6,Finance,China,Yes,0.018,0.45
L00032,A,630426.54,5,Real Estate,Germany,No,0.002,0.75
L00033,AA,527405.04,4,Manufacturing,Germany,Yes,0.0006,0.45
L00034,B,755454.72,7,Manufacturing,Italy,Yes,0.05,0.45
L00035,CCC,436585.44,8,Real Estate,China,No,0.2,0.75
L00036,B,284663.39,4,Retail,Brazil,Yes,0.05,0.45
L00037,A,407773.24,1,Retail,Italy,No,0.002,0.75
L00038,AA,304841.94,1,Transport,France,No,0.0006,0.75
L00039,BB,315656.81,1,Energy,USA,Yes,0.018,0.45
L00040,BBB,411572.58,1,Finance,Germany,Yes,0.005,0.45
L00041,AA,297684.67,5,Energy,China,Yes,0.0006,0.45
L00042,BBB,379275.92,4,Transport,France,Yes,0.005,0.45
L00043,AAA,171646.54,9,Energy,Italy,No,0.0003,0.75
L00044,B,492203.17,3,Manufacturing,Italy,No,0.05,0.75
L00045,A,442680.13,7,Manufacturing,Germany,Yes,0.002,0.45
L00046,BB,294035.47,8,Real Estate,Italy,Yes,0.018,0.45
L00047,A,615150.87,6,Real Estate,Brazil,Yes,0.002,0.45
L00048,BBB,706999.38,10,Transport,Italy,Yes,0.005,0.45
L00049,BBB,198039.16,1,Transport,UK,Yes,0.005,0.45
L00050,A,302137.54,8,Healthcare,USA,Yes,0.002,0.45
L00051,CCC,301169.6,10,Transport,Italy,No,0.2,0.75
L00052,BB,276522.77,3,Manufacturing,UK,Yes,0.018,0.45
L00053,B,669802.0,8,Energy,France,Yes,0.05,0.45
L00054,B,401549.84,4,Finance,Italy,No,0.05,0.75
L00055,BBB,387605.2,8,Healthcare,Brazil,Yes,0.005,0.45
L00056,B,162440.79,1,Healthcare,France,Yes,0.05,0.45
L00057,AA,607865.56,3,Healthcare,China,Yes,0.0006,0.45
L00058,A,238082.09,6,Transport,Italy,Yes,0.002,0.45
L00059,AAA,455871.53,9,Transport,Germany,Yes,0.0003,0.45
L00060,A,508229.54,2,Manufacturing,UK,No,0.002,0.75
L00061,BBB,873557.56,1,Finance,UK,Yes,0.005,0.45
L00062,A,229943.71,10,Manufacturing,Germany,No,0.002,0.75
L00063,B,97757.37,3,Finance,USA,Yes,0.05,0.45
L00064,BBB,485009.99,4,Manufacturing,China,Yes,0.005,0.45
L00065,A,1088439.51,5,Energy,Brazil,Yes,0.002,0.45
L00066,BBB,821981.51,3,Transport,UK,Yes,0.005,0.45
L00067,AA,491309.58,10,Retail,France,Yes,0.0006,0.45
L00068,B,345995.8,2,Retail,Brazil,Yes,0.05,0.45
L00069,AA,662357.88,2,Transport,UK,Yes,0.0006,0.45
L00070,CCC,271910.13,7,Healthcare,China,Yes,0.2,0.45
L00071,BB,561394.35,9,Transport,USA,Yes,0.018,0.45
L00072,A,569625.88,10,Transport,China,Yes,0.002,0.45
L00073,AAA,751709.3,2,Transport,France,Yes,0.0003,0.45
L00074,B,1758250.82,7,Healthcare,China,No,0.05,0.75
L00075,BB,538319.74,7,Finance,Brazil,No,0.018,0.75
L00076,BB,343011.13,7,Energy,France,Yes,0.018,0.45
L00077,BB,436792.2,3,Retail,Germany,Yes,0.018,0.45
L00078,AA,182674.66,7,Real Estate,Italy,Yes,0.0006,0.45
L00079,BBB,312588.66,1,Retail,Germany,No,0.005,0.75
L00080,AA,360540.21,10,Retail,Brazil,Yes,0.0006,0.45
L00081,B,340426.94,1,Healthcare,Italy,No,0.05,0.75
L00082,BB,477432.2,5,Manufacturing,Germany,Yes,0.018,0.45
L00083,A,293252.72,2,Transport,Italy,Yes,0.002,0.45
L00084,AA,774920.2,9,Transport,UK,Yes,0.0006,0.45
L00085,A,442459.2,7,Transport,China,Yes,0.002,0.45
L00086,A,440360.87,4,Manufacturing,France,No,0.002,0.75
L00087,BB,375514.6,4,Healthcare,Italy,Yes,0.018,0.45
L00088,BB,478109.63,2,Energy,UK,Yes,0.018,0.45
L00089,B,668337.88,5,Energy,China,Yes,0.05,0.45
L00090,BBB,286769.75,4,Healthcare,China,No,0.005,0.75
L00091,AA,318361.16,1,Real Estate,USA,Yes,0.0006,0.45
L00092,BB,380079.98,8,Energy,Germany,Yes,0.018,0.45
L00093,BB,225723.15,3,Healthcare,USA,Yes,0.018,0.45
L00094,BBB,293716.73,6,Energy,Brazil,Yes,0.005,0.45
L00095,BB,348672.92,4,Transport,UK,No,0.018,0.75
L00096,BBB,685014.02,9,Finance,USA,Yes,0.005,0.45
L00097,BBB,504478.58,7,Healthcare,USA,Yes,0.005,0.45
L00098,BBB,487377.84,9,Retail,China,Yes,0.005,0.45
L00099,AAA,677015.18,10,Energy,UK,No,0.0003,0.75
L00100,AA,413045.94,3,Energy,China,Yes,0.0006,0.45
L00101,AAA,537794.84,1,Manufacturing,France,Yes,0.0003,0.45
L00102,BB,420159.27,5,Real Estate,Italy,No,0.018,0.75
L00103,A,505185.6,3,Finance,Brazil,Yes,0.002,0.45
L00104,BBB,330585.52,6,Manufacturing,Brazil,No,0.005,0.75
L00105,B,130691.05,8,Transport,Germany,Yes,0.05,0.45
L00106,A,413685.13,4,Retail,China,Yes,0.002,0.45
L00107,BBB,901102.3,5,Real Estate,Italy,No,0.005,0.75
L00108,BB,702996.86,5,Manufacturing,Germany,No,0.018,0.75
L00109,A,716905.09,4,Healthcare,Brazil,Yes,0.002,0.45
L00110,AA,820825.12,4,Energy,Italy,No,0.0006,0.75
L00111,A,462466.22,4,Energy,USA,Yes,0.002,0.45
L00112,A,488286.62,4,Real Estate,France,No,0.002,0.75
L00113,B,324867.94,4,Energy,USA,Yes,0.05,0.45
L00114,B,377740.82,5,Healthcare,France,Yes,0.05,0.45
L00115,BB,601923.46,2,Manufacturing,China,No,0.018,0.75
L00116,B,807696.96,2,Manufacturing,UK,No,0.05,0.75
L00117,B,412617.73,9,Energy,Germany,Yes,0.05,0.45
L00118,A,353240.84,2,Energy,Germany,Yes,0.002,0.45
L00119,B,442530.2,6,Transport,UK,Yes,0.05,0.45
L00120,BBB,597556.06,2,Retail,Italy,Yes,0.005,0.45
L00121,B,214931.06,5,Real Estate,UK,Yes,0.05,0.45
L00122,B,140352.1,4,Manufacturing,China,Yes,0.05,0.45
L00123,A,335954.69,7,Real Estate,Brazil,Yes,0.002,0.45
L00124,AA,240300.09,7,Transport,UK,No,0.0006,0.75
L00125,A,343152.39,6,Manufacturing,France,Yes,0.002,0.45
L00126,BBB,410901.93,10,Transport,Brazil,Yes,0.005,0.45
L00127,B,352700.94,5,Transport,UK,Yes,0.05,0.45
L00128,B,914592.39,1,Finance,Germany,No,0.05,0.75
L00129,AAA,520930.74,3,Energy,USA,Yes,0.0003,0.45
L00130,BBB,514132.96,9,Healthcare,France,Yes,0.005,0.45
L00131,BBB,603863.57,1,Finance,China,No,0.005,0.75
L00132,A,250342.04,5,Real Estate,France,No,0.002,0.75
L00133,AA,743821.15,2,Healthcare,Italy,No,0.0006,0.75
L00134,A,425967.3,4,Real Estate,USA,No,0.002,0.75
L00135,B,618616.19,1,Energy,France,No,0.05,0.75
L00136,A,258867.44,3,Healthcare,UK,No,0.002,0.75
L00137,BBB,203438.82,10,Finance,France,Yes,0.005,0.45
L00138,BB,665933.32,7,Real Estate,France,Yes,0.018,0.45
L00139,BBB,534028.65,10,Finance,France,Yes,0.005,0.45
L00140,CCC,281806.01,3,Energy,Italy,Yes,0.2,0.45
L00141,CCC,286406.8,4,Healthcare,France,Yes,0.2,0.45
L00142,A,776628.5,2,Healthcare,France,Yes,0.002,0.45
L00143,BBB,244090.43,3,Manufacturing,Italy,No,0.005,0.75
L00144,A,1005842.92,9,Transport,Brazil,Yes,0.002,0.45
L00145,A,282007.69,3,Transport,USA,Yes,0.002,0.45
L00146,AAA,608770.09,5,Finance,China,No,0.0003,0.75
L00147,BB,375378.74,2,Healthcare,Brazil,Yes,0.018,0.45
L00148,BBB,598148.13,4,Real Estate,Germany,Yes,0.005,0.45
L00149,AA,337035.32,7,Finance,Italy,Yes,0.0006,0.45
L00150,A,407829.12,7,Finance,Italy,No,0.002,0.75
L00151,B,451558.22,3,Retail,France,Yes,0.05,0.45
L00152,A,268043.96,5,Healthcare,France,No,0.002,0.75
L00153,AA,640761.23,1,Transport,China,Yes,0.0006,0.45
L00154,BBB,342283.02,10,Healthcare,Germany,Yes,0.005,0.45
L00155,CCC,394628.48,10,Energy,France,Yes,0.2,0.45
L00156,A,269096.5,10,Finance,UK,No,0.002,0.75
